날짜,생철A (Busheling A) 경인,생철A (Busheling A) 경인증감,생철A (Busheling A) 영남,생철A (Busheling A) 영남증감,생철A (Busheling A) 평균,생철A (Busheling A) 평균증감
2023-11-07,448,-7,460,-10,454,-8
2023-10-31,455,-5,470,-8,462,-7
2023-10-24,460,0,478,0,469,0
2023-10-17,460,0,478,1,469,1
2023-10-10,460,0,477,0,468,0
2023-10-04,460,0,477,0,468,0
2023-09-26,460,0,477,0,468,0
2023-09-19,460,0,477,0,468,0
2023-09-12,460,0,477,0,468,0
2023-09-05,460,0,477,0,468,-1
2023-08-29,460,0,477,-1,469,0
2023-08-22,460,0,478,-1,469,0
2023-08-15,460,0,479,0,469,0
2023-08-08,460,0,479,0,469,0
2023-07-25,460,-1,479,0,469,-1
2023-07-18,461,-2,479,-9,470,-5
2023-07-11,463,-8,488,-10,475,-10
2023-07-04,471,-5,498,-4,485,-4
2023-06-27,476,0,502,-6,489,-3
2023-06-20,476,0,508,0,492,0
2023-06-13,476,4,508,2,492,3
2023-06-06,472,0,506,1,489,0
2023-05-30,472,0,505,0,489,0
2023-05-23,472,6,505,2,489,5
2023-05-16,466,0,503,0,484,0
2023-05-09,466,0,503,0,484,-1
2023-05-02,466,-8,503,-9,485,-8
2023-04-25,474,-7,512,-10,493,-9
2023-04-18,481,-12,522,-12,502,-12
2023-04-11,493,-5,534,-2,514,-3
2023-04-04,498,-8,536,-8,517,-7
2023-03-28,506,0,544,0,524,0
2023-03-21,506,-1,544,10,524,3
2023-03-14,507,-7,534,0,521,-3
2023-03-07,514,-7,534,0,524,-4
2023-02-28,521,0,534,0,528,0
2023-02-21,521,-3,534,-1,528,-1
2023-02-14,524,1,535,-1,529,0
2023-02-07,523,-9,536,4,529,-3
2023-01-31,532,0,532,9,532,4
2023-11-07,448,-7,460,-10,454,-8
2023-10-31,455,-5,470,-8,462,-7
2023-10-24,460,0,478,0,469,0
2023-10-17,460,0,478,1,469,1
2023-10-10,460,0,477,0,468,0
2023-10-04,460,0,477,0,468,0
2023-09-26,460,0,477,0,468,0
2023-09-19,460,0,477,0,468,0
