날짜,중량A (Heavy Scrap A) 경인,중량A (Heavy Scrap A) 경인증감,중량A (Heavy Scrap A) 영남,중량A (Heavy Scrap A) 영남증감,중량A (Heavy Scrap A) 평균,중량A (Heavy Scrap A) 평균증감
2023-11-07,434,-8,441,-10,437,-9
2023-10-31,442,-5,451,-9,446,-7
2023-10-24,447,0,460,0,453,0
2023-10-17,447,0,460,2,453,0
2023-10-10,447,0,458,0,453,0
2023-10-04,447,0,458,0,453,0
2023-09-26,447,0,458,0,453,0
2023-09-19,447,-1,458,0,453,0
2023-09-12,448,0,458,0,453,0
2023-09-05,448,0,458,0,453,0
2023-08-29,448,0,458,-2,453,-1
2023-08-22,448,0,460,0,454,0
2023-08-15,448,0,460,0,454,0
2023-08-08,448,0,460,0,454,0
2023-07-25,448,-5,460,0,454,-2
2023-07-18,453,-1,460,-9,456,-6
2023-07-11,454,-7,469,-10,462,-8
2023-07-04,461,-10,479,-4,470,-7
2023-06-27,471,0,483,-6,477,-3
2023-06-20,471,0,489,-1,480,0
2023-06-13,471,5,490,2,480,3
2023-06-06,466,0,488,1,477,1
2023-05-30,466,0,487,0,476,0
2023-05-23,466,0,487,0,476,0
2023-05-16,466,1,487,0,476,0
2023-05-09,465,0,487,0,476,0
2023-05-02,465,-7,487,-8,476,-8
2023-04-25,472,-10,495,-8,484,-9
2023-04-18,482,-10,503,-11,493,-10
2023-04-11,492,-4,514,-2,503,-3
2023-04-04,496,-5,516,-8,506,-6
2023-03-28,501,0,524,0,512,0
2023-03-21,501,0,524,10,512,4
2023-03-14,501,0,514,0,508,0
2023-03-07,501,0,514,0,508,0
2023-02-28,501,0,514,0,508,0
2023-02-21,501,0,514,0,508,0
2023-02-14,501,0,514,-1,508,0
2023-02-07,501,0,515,4,508,2
2023-01-31,501,0,511,9,506,4
2023-11-07,434,-8,441,-10,437,-9
2023-10-31,442,-5,451,-9,446,-7
2023-10-24,447,0,460,0,453,0
2023-10-17,447,0,460,2,453,0
2023-10-10,447,0,458,0,453,0
2023-10-04,447,0,458,0,453,0
2023-09-26,447,0,458,0,453,0
2023-09-19,447,-1,458,0,453,0
2023-09-12,448,0,458,0,453,0
2023-09-05,448,0,458,0,453,0
2023-08-29,448,0,458,-2,453,-1
2023-08-22,448,0,460,0,454,0
2023-08-15,448,0,460,0,454,0
2023-08-08,448,0,460,0,454,0
