날짜,경량A (Light Scrap A) 경인,경량A (Light Scrap A) 경인증감,경량A (Light Scrap A) 영남,경량A (Light Scrap A) 영남증감,경량A (Light Scrap A) 평균,경량A (Light Scrap A) 평균증감
2023-11-07,394,-10,413,-10,403,-11
2023-10-31,404,-8,423,-10,414,-8
2023-10-24,412,0,433,0,422,0
2023-10-17,412,0,433,2,422,1
2023-10-10,412,0,431,0,421,0
2023-10-04,412,0,431,0,421,0
2023-09-26,412,0,431,0,421,0
2023-09-19,412,0,431,1,421,0
2023-09-12,412,0,430,0,421,0
2023-09-05,412,0,430,-1,421,0
2023-08-29,412,0,431,-1,421,-1
2023-08-22,412,0,432,1,422,0
2023-08-15,412,0,431,-2,422,-1
2023-08-08,412,0,433,0,423,0
2023-07-25,412,-5,433,0,423,-2
2023-07-18,417,-1,433,-9,425,-5
2023-07-11,418,-7,442,-11,430,-9
2023-07-04,425,-9,453,-4,439,-6
2023-06-27,434,0,457,-6,445,-4
2023-06-20,434,1,463,0,449,1
2023-06-13,433,5,463,2,448,3
2023-06-06,428,0,461,0,445,1
2023-05-30,428,0,461,0,444,0
2023-05-23,428,0,461,0,444,0
2023-05-16,428,0,461,0,444,0
2023-05-09,428,0,461,0,444,0
2023-05-02,428,-7,461,-8,444,-8
2023-04-25,435,-10,469,-8,452,-9
2023-04-18,445,-10,477,-11,461,-10
2023-04-11,455,-4,488,-2,471,-4
2023-04-04,459,-5,490,-7,475,-6
2023-03-28,464,0,497,0,481,0
2023-03-21,464,0,497,9,481,5
2023-03-14,464,0,488,0,476,0
2023-03-07,464,0,488,0,476,0
2023-02-28,464,0,488,0,476,0
2023-02-21,464,0,488,0,476,0
2023-02-14,464,0,488,-1,476,0
2023-02-07,464,0,489,4,476,1
2023-01-31,464,0,485,9,475,5
2023-11-07,394,-10,413,-10,403,-11
2023-10-31,404,-8,423,-10,414,-8
2023-10-24,412,0,433,0,422,0
2023-10-17,412,0,433,2,422,1
2023-10-10,412,0,431,0,421,0
2023-10-04,412,0,431,0,421,0
2023-09-26,412,0,431,0,421,0
2023-09-19,412,0,431,1,421,0
2023-09-12,412,0,430,0,421,0
2023-09-05,412,0,430,-1,421,0
2023-08-29,412,0,431,-1,421,-1
2023-08-22,412,0,432,1,422,0
2023-08-15,412,0,431,-2,422,-1
2023-08-08,412,0,433,0,423,0
2023-07-25,412,-5,433,0,423,-2
2023-07-18,417,-1,433,-9,425,-5
2023-07-11,418,-7,442,-11,430,-9
2023-07-04,425,-9,453,-4,439,-6
2023-06-27,434,0,457,-6,445,-4
2023-06-20,434,1,463,0,449,1
2023-06-13,433,5,463,2,448,3
2023-06-06,428,0,461,0,445,1
2023-05-30,428,0,461,0,444,0
2023-05-23,428,0,461,0,444,0
2023-05-16,428,0,461,0,444,0
2023-05-09,428,0,461,0,444,0
2023-05-02,428,-7,461,-8,444,-8
2023-04-25,435,-10,469,-8,452,-9
2023-04-18,445,-10,477,-11,461,-10
2023-04-11,455,-4,488,-2,471,-4
2023-04-04,459,-5,490,-7,475,-6
2023-03-28,464,0,497,0,481,0
2023-03-21,464,0,497,9,481,5
2023-03-14,464,0,488,0,476,0
2023-03-07,464,0,488,0,476,0
2023-02-28,464,0,488,0,476,0
2023-02-21,464,0,488,0,476,0
2023-02-14,464,0,488,-1,476,0
2023-02-07,464,0,489,4,476,1
2023-01-31,464,0,485,9,475,5
2023-01-25,464,0,476,0,470,0
2023-01-17,464,0,476,-9,470,-5
2023-01-10,464,0,485,-7,475,-3
2023-01-03,464,21,492,22,478,21
2022-12-27,443,41,470,42,457,42
2022-12-20,402,17,428,19,415,18
2022-12-13,385,2,409,0,397,1
2022-12-06,383,-1,409,-6,396,-3
2022-11-29,384,-24,415,-23,399,-24
2022-11-22,408,-47,438,-58,423,-53
2022-11-15,455,-26,496,-21,476,-23
2022-11-08,481,-29,517,-23,499,-26
2022-11-01,510,0,540,0,525,0
2022-10-25,510,18,540,19,525,18
2022-10-18,492,21,521,13,507,18
2022-10-11,471,2,508,19,489,10
2022-10-04,469,0,489,-3,479,-1
2022-09-27,469,1,492,-2,480,-1
2022-09-20,468,13,494,15,481,14
2022-09-13,455,17,479,16,467,17
2022-09-06,438,40,463,44,450,42
2022-08-30,398,25,419,28,408,26
2022-08-23,373,21,391,20,382,20
2022-08-16,352,-1,371,-2,362,-1
2022-08-09,353,-1,373,-2,363,-2
